,age,occupation,sex,capital_loss,education_num,capital_gain,marital_status,hours_week,over_50kActual,over_50kPredicted
45,38,7,0,0,9,0,0,40,0,0
46,47,1,0,0,10,0,0,36,0,0
47,19,7,1,0,8,0,4,40,0,0
48,40,1,0,0,9,0,4,35,0,0
49,44,4,0,0,14,0,0,40,0,0
50,31,7,0,0,10,0,0,55,1,0
51,70,0,1,0,14,0,2,8,0,0
52,32,7,1,0,10,0,2,48,0,0
53,43,6,1,0,10,0,2,40,0,0
54,61,14,1,0,3,2290,2,40,0,0
55,48,4,1,1977,13,0,2,60,1,1
56,20,10,0,0,10,0,4,2,0,0
57,47,3,1,0,10,0,2,30,1,0
58,26,10,1,0,10,0,2,40,0,0
59,37,10,1,0,13,0,2,55,1,1
60,44,4,1,0,13,0,2,40,1,1
61,17,8,1,0,7,0,4,17,0,0
62,19,8,0,0,10,0,4,10,0,0
63,25,6,0,0,9,0,4,40,0,0
64,44,8,1,0,9,0,4,32,0,0
65,28,6,1,0,6,0,4,40,0,0
66,31,3,1,0,9,0,2,72,0,0
67,64,4,1,0,9,0,2,40,1,1
68,37,10,1,0,10,0,4,40,0,0
69,36,7,1,0,7,0,5,40,0,0
70,36,3,1,0,7,0,4,40,0,0
71,64,10,1,0,13,5178,2,40,1,1
72,24,12,1,0,10,0,4,40,0,0
73,25,8,1,0,9,0,0,50,0,0
74,46,12,1,0,10,0,5,55,0,0
75,44,3,1,0,13,0,0,40,0,0
76,29,7,1,0,7,0,2,40,0,0
77,18,6,1,0,7,0,4,20,0,0
78,36,4,0,0,11,0,2,50,1,0
79,46,8,1,0,9,0,2,40,0,0
80,59,6,1,0,6,0,2,40,0,0
81,26,3,1,0,9,0,2,40,1,0
82,35,12,1,0,15,0,2,35,0,0
83,22,6,1,0,9,0,4,40,0,0
84,46,12,0,0,13,0,4,35,0,0
85,35,6,0,0,9,0,4,40,0,0
86,70,3,1,0,9,1455,2,40,0,0
87,46,10,1,0,16,0,2,40,1,1
88,78,4,1,0,7,0,2,10,0,0
89,84,8,0,0,9,0,6,13,0,0
90,47,6,1,0,9,0,0,40,0,0
91,22,12,0,0,9,0,4,25,0,0
92,28,1,0,0,9,0,4,40,0,0
93,39,6,1,0,9,7298,2,40,1,1
94,37,14,1,0,13,0,0,50,0,1
95,26,10,1,1602,10,0,4,40,0,0
96,25,12,0,0,13,0,4,40,0,0
97,63,1,0,0,13,0,6,25,0,0
98,33,7,1,0,9,0,4,55,0,0
99,61,12,1,0,10,0,2,40,0,0
100,60,0,1,0,9,0,2,50,1,0
101,25,8,1,0,9,0,4,8,0,0
102,46,10,1,0,15,15024,2,60,1,1
103,33,12,0,0,9,0,5,35,0,0
104,56,12,1,0,11,0,3,46,0,1
105,45,10,1,0,14,7688,2,55,1,1
106,51,8,1,0,9,0,2,30,0,0
107,29,12,0,0,12,0,4,32,0,0
108,39,12,1,1977,14,0,2,55,1,1
109,40,10,1,0,11,0,2,40,1,1
110,25,7,1,0,5,0,4,48,0,0
111,51,8,1,0,13,0,2,40,1,0
112,25,12,0,1876,13,0,4,40,0,0
113,32,5,1,0,9,0,4,40,0,0
114,43,10,1,0,15,0,0,50,0,0
115,36,5,1,0,9,0,2,84,0,0
116,23,6,1,0,13,0,4,30,0,0
117,25,6,1,0,9,0,4,48,0,0
118,19,7,1,0,10,0,4,40,0,0
119,34,13,0,0,10,0,4,50,0,0
120,64,0,1,0,10,0,2,20,0,0
121,58,12,1,0,12,0,2,42,1,1
122,40,1,0,0,10,914,0,40,0,0
123,32,10,0,0,16,0,4,70,0,0
124,45,3,1,0,9,7688,2,50,1,1
125,25,6,1,0,9,0,4,65,0,0
126,47,12,1,0,10,7298,2,45,1,1
127,33,8,0,0,10,0,0,40,0,0
128,54,0,1,0,10,0,2,50,0,0
129,24,6,1,0,9,0,4,40,0,0
130,51,1,0,0,10,0,6,40,0,0
131,49,1,0,0,10,0,2,40,1,0
132,60,8,1,0,9,0,2,40,0,0
133,19,8,1,0,10,0,4,25,0,0
134,33,14,1,0,3,0,3,20,0,0
135,32,4,1,0,13,0,2,50,1,1
136,63,14,1,0,5,0,2,40,0,0
137,59,8,1,0,5,0,2,30,0,0
138,43,10,1,0,13,0,2,40,1,0
139,49,0,0,0,9,0,6,80,0,0
140,44,12,0,0,9,0,0,40,0,0
141,30,10,1,0,13,0,2,40,1,1
142,19,7,0,0,9,0,4,34,0,0
143,45,3,1,0,10,0,5,41,0,0
144,26,12,1,0,9,0,4,40,0,0
145,50,4,1,0,13,0,2,40,1,1
146,18,8,0,0,9,0,4,20,0,0
147,28,3,1,0,9,0,2,40,1,0
148,38,3,1,0,10,0,2,40,1,0
149,17,12,0,0,6,0,4,12,0,0
150,50,8,1,0,10,0,0,45,0,0
151,23,4,1,0,13,0,4,40,0,0
152,36,12,1,0,9,0,2,40,1,0
153,19,12,1,0,10,0,4,30,0,0
154,26,1,1,0,9,0,4,50,0,0
155,39,8,0,0,9,0,2,40,0,0
156,52,10,0,1848,14,0,2,40,1,1
157,28,7,1,0,2,0,2,43,0,0
158,23,6,1,0,3,0,4,55,0,0
159,32,6,1,0,9,0,0,40,0,0
160,34,10,1,0,9,0,2,51,0,0
161,18,6,1,0,5,0,4,16,0,0
162,41,4,1,0,14,0,2,50,1,1
163,23,8,1,0,10,0,4,25,0,0
164,50,3,1,0,7,0,4,40,0,0
165,35,5,1,0,7,0,2,40,0,0
166,33,0,0,0,9,0,2,20,0,0
167,20,12,0,0,10,0,4,36,0,0
168,49,10,0,0,14,0,2,50,1,1
169,56,7,0,0,9,0,5,40,0,0
170,41,4,1,0,14,0,2,40,0,1
171,17,12,0,0,8,0,4,20,0,0
172,28,3,1,0,11,0,2,45,0,0
173,37,1,0,0,10,0,0,44,0,0
174,48,14,1,2002,10,0,2,70,0,0
175,42,0,1,0,10,0,0,40,0,0
176,37,8,1,0,9,0,2,30,0,0
177,45,1,0,0,10,0,0,35,0,0
178,43,1,1,0,13,0,2,40,1,1
179,29,8,0,0,9,0,0,99,0,0
180,35,12,1,0,10,0,0,50,0,0
181,39,3,1,0,6,0,2,60,1,0
182,25,14,1,0,9,0,4,52,0,0
183,23,6,1,0,10,0,4,40,0,0
184,27,7,0,0,6,0,0,40,0,0
185,27,1,0,0,10,0,2,45,0,0
186,38,3,1,0,5,0,2,40,0,0
187,18,6,1,0,9,1055,4,40,0,0
188,40,10,1,1902,14,0,2,48,1,1
189,34,8,0,0,9,0,5,40,0,0
190,33,13,0,0,9,0,4,50,0,0
191,19,0,1,0,10,0,4,40,0,0
192,23,12,0,0,12,0,4,35,0,0
193,28,10,0,0,16,0,4,60,1,0
194,65,0,1,0,10,2290,2,4,0,0
195,22,1,0,0,10,0,4,35,0,0
196,31,10,0,0,14,0,4,50,0,0
197,51,10,1,0,15,0,2,60,1,1
198,19,0,1,0,6,0,4,30,0,0
199,62,4,1,0,14,0,2,50,1,1
200,41,4,0,0,10,0,5,40,0,0
201,35,4,0,0,13,0,4,40,0,0
202,26,12,0,0,10,0,4,35,0,0
203,61,4,0,0,14,0,6,99,0,0
204,32,10,1,0,13,0,4,45,1,0
205,53,7,0,0,13,0,2,40,0,0
206,43,10,1,0,15,0,2,25,1,1
207,40,10,0,0,11,0,0,20,0,0
208,54,10,0,0,14,0,0,30,0,0
209,33,10,0,0,15,0,4,65,1,1
210,51,3,1,0,6,0,2,40,1,0
211,31,12,1,0,13,0,2,65,0,0
212,41,1,0,0,10,0,0,40,0,0
213,18,12,0,0,7,0,4,10,0,0
214,17,6,1,0,8,0,4,15,0,0
215,29,6,1,0,9,0,2,40,0,0
216,45,3,1,0,13,0,4,32,0,0
217,20,7,1,0,10,0,4,60,0,0
218,38,3,1,0,9,0,2,50,0,0
219,35,13,1,0,10,0,2,40,1,0
220,35,4,1,0,10,0,2,40,1,0
221,30,4,0,0,10,0,4,40,0,0
222,40,4,1,0,13,0,2,45,0,1
223,33,4,1,0,9,0,2,40,0,0
224,48,6,0,0,8,0,6,50,0,0
225,27,4,0,0,13,0,2,40,1,0
226,36,4,1,0,13,0,4,55,0,0
227,73,7,1,0,7,0,2,15,0,0
228,23,12,1,1590,9,0,4,48,0,0
229,22,12,1,0,9,0,4,40,0,0
230,31,11,1,0,12,0,4,40,0,0
231,20,1,0,0,12,0,4,15,0,0
232,21,1,0,0,10,0,4,40,0,0
233,40,3,1,0,10,0,2,60,0,0
234,26,3,1,0,7,0,5,40,0,0
235,18,10,1,0,8,0,4,30,0,0
236,82,12,1,0,10,0,6,20,0,0
237,74,4,1,1825,13,0,2,12,1,1
238,60,3,1,0,9,0,2,30,0,0
239,32,3,1,0,7,0,0,50,0,0
240,36,3,1,0,9,0,5,40,0,0
241,23,1,0,0,10,0,4,60,0,0
242,25,1,0,0,10,0,4,40,0,0
243,46,12,1,0,9,0,2,40,1,0
244,48,10,1,0,13,15024,2,45,1,1
245,36,10,1,0,14,0,4,45,0,0
246,48,4,1,0,9,0,2,30,0,0
247,19,7,1,0,10,0,4,40,0,0
248,40,8,0,0,9,0,5,25,0,0
249,47,12,1,0,10,0,0,55,0,0
250,31,8,1,0,7,0,5,38,0,0
251,36,10,0,0,13,1506,0,45,0,0
252,38,1,0,0,12,0,4,38,0,0
253,17,0,1,0,6,0,4,30,0,0
254,39,10,0,0,14,0,2,40,1,1
255,41,10,0,0,13,0,2,52,0,0
256,48,12,1,0,9,0,2,48,0,0
257,36,3,1,0,9,0,2,40,0,0
258,26,13,1,0,10,0,4,20,0,0
259,41,8,0,0,11,0,0,10,0,0
260,43,1,0,0,10,0,0,40,0,0
261,40,10,1,0,15,0,2,60,1,1
262,25,3,1,0,12,0,4,40,0,0
263,44,4,1,1977,12,0,2,50,1,1
264,26,4,0,0,13,0,4,45,0,0
265,21,6,1,0,10,0,4,40,0,0
266,39,12,1,0,9,0,2,40,0,0
267,48,10,0,0,11,0,0,56,1,1
268,44,7,0,0,12,0,0,45,0,0
269,20,10,0,0,10,0,4,15,0,0
270,45,8,0,0,10,0,5,40,0,0
271,31,8,1,0,10,0,2,40,0,0
272,70,12,1,0,9,0,2,40,0,0
273,54,4,1,0,9,0,2,36,1,0
274,39,3,1,0,9,0,2,40,0,0
275,85,12,1,0,9,0,6,35,0,0
276,38,13,0,0,10,0,4,50,0,0
277,27,10,0,0,13,0,4,60,0,0
278,39,10,0,0,9,0,6,60,0,0
279,70,12,1,0,9,3432,2,40,0,0
280,37,3,1,0,9,0,2,60,1,0
281,42,12,1,0,10,0,0,50,1,0
282,21,8,0,0,10,0,4,25,0,0
283,60,11,1,0,13,7298,2,48,1,1
284,18,8,1,0,7,0,4,8,0,0
285,30,10,1,0,10,7688,2,40,1,1
286,57,12,1,0,7,0,2,15,0,0
287,22,6,1,0,10,0,4,20,0,0
288,21,12,1,0,12,0,4,40,0,0
289,37,10,1,0,13,0,2,5,1,0
290,31,7,1,0,12,0,2,55,0,0
291,41,10,0,0,15,0,6,52,1,0
292,27,10,1,0,13,0,4,40,0,0
293,34,8,0,0,9,0,0,40,0,0
294,27,6,1,0,9,0,2,40,0,0
295,90,1,1,0,12,0,2,20,0,0
296,25,6,1,0,13,0,4,35,0,0
297,46,7,1,0,10,0,0,40,0,0
298,31,14,1,0,9,0,2,40,1,0
299,57,1,0,0,13,0,4,40,0,1
300,33,8,0,0,10,0,2,26,0,0
301,38,3,1,0,14,0,2,40,1,0
302,24,10,1,0,13,0,4,40,0,0
303,47,11,1,0,14,0,0,50,1,0
304,28,8,0,0,6,0,0,40,0,0
305,31,8,1,0,6,0,4,40,0,0
306,22,3,1,0,13,13550,4,55,1,1
307,33,3,1,0,9,0,2,40,0,0
308,41,4,1,0,9,0,2,40,1,1
309,29,7,1,0,9,0,2,40,0,0
310,27,13,1,0,13,0,4,37,0,0
311,27,1,0,0,12,0,4,40,0,0
312,38,3,1,0,9,0,4,40,0,0
313,41,10,1,0,13,7688,2,40,1,1
314,63,5,1,0,10,0,2,20,0,0
315,27,8,0,0,13,0,4,20,0,0
316,46,12,1,0,10,0,2,60,0,1
317,55,1,0,0,10,0,0,40,0,0
318,37,0,0,0,10,0,2,60,0,0
319,24,6,1,0,7,0,4,40,0,0
320,54,0,1,0,9,0,2,40,0,1
321,57,8,1,0,9,0,4,48,0,0
322,36,11,1,0,10,0,2,57,1,1
323,34,1,0,0,9,0,2,20,0,0
324,28,1,0,0,11,0,4,40,0,0
325,47,12,1,1977,13,0,2,40,1,1
326,34,6,1,0,10,0,2,40,0,0
327,36,12,0,1741,13,0,4,40,0,0
328,48,13,1,0,13,0,2,40,1,1
329,55,12,0,0,9,0,5,60,0,0
330,61,14,1,0,9,0,0,40,0,0
331,56,7,1,0,4,0,2,48,0,0
332,32,12,1,0,13,0,2,45,0,0
333,45,10,1,0,10,0,2,40,1,1
334,27,8,1,0,9,0,0,40,0,0
335,39,3,1,0,10,0,4,30,0,0
336,24,4,0,0,9,0,4,40,0,0
337,32,1,0,0,13,0,2,40,0,0
338,56,10,1,0,9,0,2,40,0,0
339,46,8,0,0,7,0,6,27,0,0
340,28,12,0,0,9,0,4,60,0,0
341,53,14,1,0,9,10520,3,40,1,1
342,67,11,1,0,13,6514,2,7,1,1
343,37,4,1,0,9,0,2,55,0,0
344,28,10,1,0,15,0,4,45,0,0
345,28,8,1,0,3,2176,4,52,0,0
346,20,7,1,0,9,4416,4,53,0,0
347,36,4,0,0,12,0,2,50,1,1
348,51,1,0,0,10,0,2,40,0,0
349,30,7,1,0,9,0,2,40,0,0
350,44,3,1,0,9,0,2,40,1,0
351,56,6,1,0,6,0,2,40,0,0
352,30,6,1,0,9,0,2,40,0,0
353,35,14,1,0,13,0,0,40,0,0
354,46,10,0,0,12,0,4,33,0,0
355,59,4,1,0,9,0,2,60,0,0
356,44,3,1,0,10,4386,2,55,0,1
357,23,4,0,0,13,0,4,45,0,0
358,17,1,0,0,7,0,4,10,0,0
359,57,10,1,0,15,15024,2,60,1,1
360,49,12,1,0,13,99999,2,40,1,1
361,50,4,1,0,13,0,2,40,1,1
362,47,4,1,0,13,0,3,60,1,1
363,52,11,1,0,13,0,2,40,0,1
364,36,14,1,0,10,0,4,50,0,0
365,64,5,1,0,11,0,2,55,0,0
366,52,8,0,0,10,0,6,40,0,0
367,53,10,1,0,16,0,2,20,0,0
368,54,4,1,0,13,99999,0,70,1,1
369,40,3,1,0,9,0,2,40,1,0
370,28,8,0,0,10,0,4,50,0,0
371,36,0,1,0,8,0,4,35,0,0
372,26,5,1,0,9,0,4,40,0,0
373,56,8,1,0,9,0,2,40,0,0
374,29,3,1,0,4,0,4,40,0,0
375,43,7,1,0,4,0,2,40,0,0
376,32,1,1,0,10,0,4,35,0,0
377,18,4,0,0,9,0,4,40,0,0
378,34,5,1,0,9,0,2,50,0,0
379,21,7,1,0,9,0,5,40,0,0
380,18,6,1,0,7,0,4,30,0,0
381,61,8,1,0,9,0,2,30,0,0
382,72,5,1,0,9,4931,2,70,0,1
383,25,5,1,0,9,0,4,50,0,0
384,21,14,1,0,9,0,4,40,0,0
385,22,10,0,0,13,0,4,6,0,0
386,26,1,0,0,9,0,4,40,0,0
387,31,12,1,0,13,0,2,40,1,0
388,30,11,1,0,9,0,2,40,0,0
389,79,4,1,0,16,0,6,6,1,0
390,29,10,1,0,15,0,2,80,0,0
391,50,3,1,0,4,3411,2,40,0,0
392,33,1,0,0,12,0,4,40,0,0
393,18,7,0,0,9,0,4,40,0,0
394,28,7,1,0,9,0,4,40,0,0
395,32,4,1,0,13,99999,2,60,1,1
396,24,6,1,0,9,0,4,40,0,0
397,22,8,1,0,13,0,4,30,0,0
398,44,0,1,0,10,0,4,45,0,0
399,59,8,1,0,15,27828,0,60,1,1
400,47,1,0,0,10,0,2,30,0,0
401,49,12,1,0,14,4787,0,45,1,1
402,41,10,0,0,13,99999,5,60,1,1
403,40,6,1,0,9,0,2,46,0,1
404,28,7,1,0,5,0,4,40,0,0
405,27,6,1,0,10,0,4,50,0,0
406,30,10,1,1876,13,0,4,40,0,0
407,39,3,1,0,10,0,2,40,0,0
408,21,6,1,0,8,0,4,32,0,0
409,40,11,1,0,11,0,2,40,1,0
410,23,6,1,0,9,0,4,60,0,0
411,65,4,1,0,8,2009,6,44,0,0
412,24,14,1,0,10,0,4,40,0,0
413,42,13,1,0,10,0,2,20,1,0
414,18,12,0,0,7,0,4,25,0,0
415,32,12,0,0,9,0,2,40,0,0
416,79,0,0,0,9,0,6,30,0,0
417,54,7,1,0,4,0,2,50,0,0
418,17,0,0,0,6,0,4,30,0,0
419,24,5,1,0,10,0,4,60,0,0
420,17,8,1,0,6,0,4,20,0,0
421,28,4,1,0,14,0,4,58,0,0
422,38,8,0,0,13,0,4,45,0,0
423,44,8,1,0,9,0,0,37,0,0
424,56,5,0,0,12,0,2,40,0,1
425,17,12,0,0,8,0,4,8,0,0
426,52,4,1,0,13,0,0,40,1,0
427,36,3,1,0,10,0,2,40,0,1
428,39,12,1,0,13,0,2,50,1,1
429,22,7,1,0,9,0,4,40,0,0
430,27,8,1,0,9,0,4,40,0,0
431,55,1,0,0,9,0,0,40,0,0
432,18,8,0,0,10,0,4,12,0,0
433,65,8,1,0,6,0,0,64,0,0
434,51,6,0,0,9,0,0,20,0,0
435,25,4,0,0,13,0,4,60,0,0
436,26,0,0,0,13,0,4,10,0,0
437,18,6,1,0,9,0,4,20,0,0
438,38,3,1,0,13,0,3,40,0,0
439,61,8,0,0,9,0,0,40,0,0
440,26,11,1,0,9,0,2,50,1,0
441,41,8,1,0,7,0,0,40,0,0
442,28,10,1,0,14,0,4,50,0,0
443,36,10,1,0,13,0,2,55,1,1
444,23,10,1,0,13,0,4,50,0,0
445,43,3,1,0,6,0,2,60,0,0
446,44,4,1,0,10,0,2,50,0,0
447,40,1,1,0,10,0,2,35,1,0
448,54,3,1,0,9,0,2,40,0,1
449,51,3,1,0,10,0,0,8,1,0
450,24,7,1,0,10,0,2,40,0,0
451,46,4,1,0,14,0,2,50,1,1
452,22,7,1,0,8,0,2,60,0,0
453,57,5,1,0,9,0,2,45,0,0
454,40,14,1,0,9,0,2,60,1,0
455,69,12,0,0,4,0,0,40,0,0
456,64,1,1,0,10,0,2,40,0,0
457,28,0,1,0,9,0,4,40,0,0
458,37,3,1,0,6,0,2,40,0,0
459,29,1,0,0,9,0,4,44,0,0
460,23,13,0,0,13,0,4,40,0,0
461,62,5,0,0,10,0,6,50,0,0
462,36,10,1,0,12,0,4,40,0,0
463,54,5,1,0,10,0,2,45,1,0
464,42,1,1,0,13,7298,2,40,1,1
465,33,4,1,0,13,0,2,50,1,1
466,64,14,1,0,2,0,2,40,0,0
467,36,8,0,0,10,0,0,40,0,0
468,38,12,0,0,10,0,0,40,0,0
469,41,14,0,0,9,13550,6,60,1,1
470,30,10,1,0,13,0,2,40,1,1
471,27,6,1,0,10,0,4,25,0,0
472,52,7,1,0,9,0,2,20,1,0
473,60,4,0,0,13,0,0,40,1,0
474,37,13,0,0,10,0,4,40,0,0
475,38,3,1,0,10,0,2,40,0,0
476,32,1,0,0,9,0,4,40,0,0
477,40,3,0,0,13,0,0,40,0,0
478,20,1,0,0,10,0,4,10,0,0
479,42,1,0,0,9,0,5,40,0,0
480,54,3,1,0,9,0,2,40,0,1
481,36,12,1,0,10,99999,2,20,1,1
482,32,10,1,1848,14,0,2,60,1,1
483,33,8,0,0,9,0,5,72,0,0
484,30,7,1,0,11,0,0,40,0,0
485,26,12,1,0,13,4064,2,50,0,0
486,44,13,1,0,11,0,0,40,0,0
487,33,1,1,0,13,0,2,40,0,0
488,37,4,1,0,13,0,2,60,1,0
489,57,4,0,0,12,0,4,35,0,0
490,27,7,1,0,9,0,2,40,0,0
491,52,12,1,0,10,0,2,40,0,1
492,62,3,1,0,13,0,2,6,0,0
493,31,7,1,0,9,0,4,40,0,0
494,32,3,1,0,9,0,2,40,0,0
495,34,12,1,0,13,0,2,60,1,1
496,36,13,0,0,10,0,0,40,0,0
497,41,3,1,0,10,0,2,40,0,0
498,34,6,1,0,9,0,4,40,0,0
499,48,7,1,0,14,0,4,40,0,0
500,39,4,1,0,14,0,2,40,0,1
501,44,10,0,0,16,7688,2,40,1,1
502,18,8,1,0,6,0,4,20,0,0
503,32,3,1,0,9,0,4,40,0,0
504,18,12,1,0,6,0,4,20,0,0
505,53,1,1,0,15,0,4,40,1,0
506,45,10,1,0,13,0,4,40,0,0
507,41,4,0,0,14,99999,2,50,1,1
508,29,8,0,0,9,2635,2,40,0,0
509,49,4,0,0,13,0,0,40,0,0
510,47,3,1,0,10,0,2,40,0,0
511,37,8,0,0,12,0,3,50,0,0
512,47,8,0,0,9,0,0,32,0,0
513,29,10,1,0,14,0,2,50,0,1
514,53,4,0,0,9,0,0,40,0,0
515,27,0,0,0,9,0,5,40,0,0
516,61,0,0,0,9,0,0,99,0,0
517,56,5,1,0,10,0,2,50,0,0
518,38,12,1,0,10,0,2,60,1,0
519,37,1,0,0,13,0,4,35,0,0
520,63,4,1,0,12,0,0,40,1,1
521,26,4,0,0,13,0,4,50,0,0
522,39,10,1,1887,13,0,2,40,1,1
523,35,8,0,0,9,0,0,40,0,0
524,33,10,1,0,12,0,2,40,1,1
525,45,10,1,0,14,0,2,40,1,1
526,32,3,1,0,4,0,2,40,0,0
527,22,13,1,2339,13,0,4,40,0,0
528,31,8,1,0,9,0,4,42,0,0
529,47,3,1,625,9,0,0,40,0,0
530,46,1,1,0,10,0,2,40,0,0
531,23,1,1,0,10,0,0,40,0,0
532,42,8,0,0,9,0,4,24,0,0
533,38,8,0,0,10,0,2,40,0,0
534,23,1,0,0,12,0,4,70,0,0
535,51,10,1,0,14,0,2,40,0,1
536,32,3,1,0,11,0,2,45,0,0
537,24,10,1,0,13,0,4,40,0,0
538,25,1,0,0,9,0,4,40,0,0
539,35,10,0,0,14,0,4,40,0,0
540,24,8,0,0,9,0,4,40,0,0
541,19,7,1,0,10,0,4,20,0,0
542,42,1,0,0,12,0,0,40,0,0
543,32,1,0,0,9,0,0,40,0,0
544,42,4,1,0,9,0,4,48,0,0
545,52,4,1,0,11,0,2,40,0,0
546,19,12,0,0,10,0,4,20,0,0
547,21,8,0,0,10,0,4,8,0,0
548,32,12,0,0,9,0,4,45,0,0
549,52,4,1,0,10,0,0,60,0,0
550,45,11,1,0,9,0,6,40,1,0
551,60,4,1,0,13,0,2,45,1,1
552,53,4,1,0,13,0,2,48,1,1
553,26,1,1,0,9,0,4,50,0,0
554,58,14,1,0,10,0,2,60,1,0
555,48,7,1,0,6,0,2,40,0,0
556,63,0,0,0,14,0,4,3,0,0
557,32,3,1,0,8,0,2,40,0,0
558,45,12,1,0,9,0,2,50,1,1
559,32,7,1,0,7,0,2,40,0,0
560,22,12,0,0,9,0,0,33,0,0
561,26,13,1,0,13,0,4,40,0,0
562,43,7,0,0,9,0,0,50,0,0
563,22,1,1,0,9,0,4,40,0,0
564,20,3,1,0,9,3781,2,35,0,0
565,19,0,0,0,10,0,4,20,0,0
566,25,12,0,0,13,0,0,40,0,0
567,73,0,1,0,13,0,2,10,0,0
568,45,13,0,0,10,3325,4,60,0,0
569,23,6,1,0,9,0,2,40,0,0
570,32,3,1,0,9,0,0,40,0,0
571,48,4,0,0,13,0,4,35,0,0
572,66,4,0,0,9,0,6,25,0,0
573,45,4,1,0,13,0,2,40,0,1
574,25,10,1,0,13,0,4,46,0,0
575,32,4,1,0,13,0,2,40,0,1
576,45,1,0,0,9,0,0,40,0,0
577,41,10,0,0,13,0,4,40,0,0
578,30,5,1,0,4,0,2,40,0,0
579,59,6,1,0,13,0,2,40,1,1
580,45,14,1,0,13,0,2,40,1,1
581,54,1,1,0,9,0,2,54,1,0
582,42,4,1,0,10,0,2,55,1,0
583,29,3,1,0,9,0,2,40,0,0
584,68,8,0,0,6,0,6,20,0,0
585,57,8,0,0,10,0,5,40,0,0
586,48,3,1,0,12,0,2,48,1,1
587,58,0,0,0,9,0,4,4,0,0
588,31,7,1,0,9,0,4,40,0,0
589,32,12,1,0,10,0,2,99,1,0
590,32,11,1,0,9,0,2,40,0,0
591,28,3,1,0,7,0,4,40,0,0
592,23,1,0,0,9,0,4,40,0,0
593,27,12,0,0,9,0,0,40,0,0
594,24,5,1,0,9,0,4,40,0,0
595,47,8,0,0,4,0,3,30,0,0
596,26,6,1,0,6,0,4,40,0,0
597,28,8,0,0,9,0,4,40,0,0
598,49,12,1,0,9,0,2,50,1,1
599,28,8,0,0,9,0,4,40,0,0
600,46,10,1,0,14,0,2,40,0,1
601,24,10,0,0,13,0,4,40,0,0
602,53,4,1,0,11,0,2,45,0,1
603,48,4,1,0,10,0,2,65,0,0
604,22,0,0,0,10,0,4,30,0,0
605,22,12,1,0,7,0,0,50,0,0
606,56,4,0,1977,10,0,2,50,1,1
607,27,6,1,0,9,0,4,40,0,0
608,31,11,1,0,10,0,2,50,0,0
609,28,3,1,0,11,7688,2,45,1,1
610,23,0,0,0,6,0,2,40,0,0
611,28,10,0,0,15,0,3,65,0,0
612,35,12,1,0,10,0,4,50,0,0
613,23,12,0,0,13,0,4,25,0,0
614,55,4,1,0,14,0,0,40,1,0
615,31,12,1,0,14,0,2,40,1,0
616,19,13,0,0,9,0,4,40,0,0
617,23,1,0,0,10,0,4,24,0,0
618,26,3,1,0,9,0,0,55,0,0
619,33,7,1,0,9,0,2,40,0,0
620,54,10,0,1887,15,0,2,50,1,1
621,32,12,1,1902,13,0,2,40,1,1
622,52,1,1,0,9,0,2,44,1,0
623,30,5,1,0,9,0,2,85,0,0
624,65,0,1,0,4,2290,2,27,0,0
625,53,13,1,0,4,0,2,99,0,0
626,45,6,1,0,10,0,0,30,0,0
627,29,0,1,0,9,0,4,40,0,0
