,id,age,education_num,capital_gain,capital_loss,hours_week,over_50k,workclass,education_level,marital_status,occupation,relationship,race,sex,country
12410,12411,36,10,0,0,40,0,4,15,6,10,3,4,0,39
40982,40983,25,9,0,0,40,0,4,11,2,3,0,4,1,39
44552,44553,35,13,0,0,40,0,4,9,2,8,0,4,1,39
20538,20539,44,9,0,0,40,0,2,11,2,1,2,4,0,39
43394,43395,20,10,0,0,28,0,0,15,4,0,1,0,0,39
32002,32003,32,12,0,0,62,0,4,7,2,7,0,4,1,39
7369,7370,25,10,0,0,35,0,4,15,2,14,0,4,1,39
48114,48115,31,5,0,0,47,0,6,6,4,3,4,4,1,39
39814,39815,25,10,0,0,40,0,4,15,4,12,4,4,0,39
12851,12852,28,9,0,0,55,0,4,11,5,5,1,4,1,39
47682,47683,46,10,0,0,50,1,4,15,2,3,0,4,1,39
8089,8090,51,13,0,0,43,0,1,9,4,10,1,0,0,39
15428,15429,20,9,0,0,40,0,4,11,4,6,3,4,1,39
10363,10364,65,9,0,810,36,0,4,11,6,1,1,4,0,39
25639,25640,38,9,0,0,40,0,4,11,2,8,0,4,1,39
17660,17661,26,10,0,0,65,0,4,15,2,14,0,2,1,39
46640,46641,40,9,0,0,40,0,4,11,0,7,4,4,1,39
26981,26982,41,9,0,1848,40,1,4,11,2,3,0,4,1,39
41779,41780,40,13,0,0,40,0,4,9,2,4,0,4,1,39
37172,37173,31,9,0,0,40,0,4,11,0,3,1,4,1,39
19272,19273,26,13,0,0,48,1,4,9,2,12,0,4,1,39
20976,20977,25,13,0,0,50,0,4,9,4,13,1,4,0,39
9404,9405,60,10,0,0,60,0,2,15,2,8,0,1,1,30
23054,23055,68,9,0,3683,40,0,1,11,0,10,1,4,0,39
38804,38805,24,9,0,0,30,0,4,11,4,1,3,4,0,39
35847,35848,19,10,0,0,30,0,4,15,4,8,2,4,0,39
35185,35186,24,13,0,0,28,0,4,9,4,1,3,4,1,39
11133,11134,38,13,0,0,60,0,4,9,2,4,0,4,1,39
48721,48722,26,9,0,0,40,0,4,11,4,1,2,4,0,39
17791,17792,18,9,0,0,16,0,4,11,4,1,3,4,0,39
48424,48425,23,7,0,0,40,0,4,1,4,8,3,4,0,39
47823,47824,50,14,0,0,45,0,5,12,5,4,4,1,1,3
34961,34962,23,9,0,0,40,0,4,11,2,3,0,4,1,39
31235,31236,27,10,0,0,40,1,0,15,2,0,5,4,0,39
47912,47913,31,9,0,0,40,0,6,11,4,8,3,4,0,39
24901,24902,19,8,0,1602,20,0,4,2,4,8,3,4,1,39
41461,41462,64,13,0,0,40,0,0,9,2,0,0,4,1,39
23030,23031,18,9,0,0,60,0,2,11,4,8,3,4,1,39
25847,25848,58,14,0,0,40,1,4,12,2,4,0,4,1,39
43675,43676,23,7,0,0,40,0,4,1,4,7,4,3,1,39
34557,34558,27,9,0,0,40,0,4,11,2,8,0,4,1,39
30917,30918,41,9,0,0,40,0,4,11,2,12,0,4,1,39
1956,1957,68,9,0,0,40,0,4,11,2,12,0,4,1,39
31,32,20,10,0,0,44,0,4,15,4,12,3,2,1,39
45097,45098,37,9,0,0,38,0,4,11,0,3,4,4,1,39
46350,46351,40,7,0,0,50,0,4,1,2,3,0,4,1,39
27173,27174,19,10,0,0,25,0,4,15,4,13,1,4,0,39
23174,23175,43,3,0,0,40,0,4,4,2,7,0,3,1,26
43987,43988,19,10,0,0,75,0,4,15,4,8,1,4,0,39
32897,32898,44,5,0,0,55,0,4,6,0,8,4,4,0,6
37945,37946,48,13,0,0,40,0,4,9,4,10,1,4,1,39
31361,31362,37,13,0,0,16,1,4,9,2,10,5,4,0,39
44424,44425,49,11,0,0,60,0,6,8,4,1,1,4,0,39
16692,16693,29,9,0,0,44,0,4,11,0,7,1,4,1,39
13946,13947,25,10,0,0,56,1,4,15,2,1,5,2,0,39
18943,18944,51,14,0,0,40,1,7,12,4,10,1,4,1,39
36554,36555,43,15,0,0,5,1,6,14,2,10,5,4,0,39
15536,15537,21,10,0,0,48,0,4,15,4,4,1,2,1,26
33282,33283,35,13,0,0,48,0,4,9,2,13,0,4,1,39
26998,26999,22,10,0,1721,20,0,0,15,4,0,3,2,1,39
13211,13212,28,9,0,0,40,0,4,11,3,8,1,1,0,30
48010,48011,60,14,15024,0,52,1,2,12,2,10,0,4,1,39
30834,30835,17,6,0,0,30,0,4,0,4,9,2,4,1,39
48796,48797,27,13,2202,0,52,0,4,9,4,10,1,1,1,30
38599,38600,17,7,0,0,18,0,4,1,4,5,3,4,0,39
20585,20586,47,9,0,0,14,0,4,11,0,8,1,2,0,39
4334,4335,41,10,0,0,40,0,2,15,2,12,0,4,1,39
11815,11816,30,10,0,0,45,1,4,15,4,12,1,4,1,39
38132,38133,46,12,0,0,40,0,4,7,5,4,4,4,0,39
3636,3637,45,8,0,0,40,0,4,2,2,7,0,1,1,0
37369,37370,42,10,0,0,40,0,4,15,4,14,1,2,1,39
23102,23103,20,10,0,0,24,0,4,15,4,1,3,4,0,39
39347,39348,35,9,0,0,50,0,4,11,2,3,0,4,1,39
6382,6383,58,10,0,0,65,1,5,15,2,4,0,4,1,39
19337,19338,72,9,0,0,1,0,0,11,2,0,0,1,1,39
17735,17736,26,10,0,0,50,0,4,15,4,9,1,4,0,18
47816,47817,37,9,0,0,60,0,4,11,2,4,0,4,1,39
9323,9324,49,13,0,0,50,0,6,9,2,5,0,4,1,39
21425,21426,55,9,0,0,40,0,4,11,2,3,0,4,1,39
37243,37244,23,9,0,0,60,0,4,11,2,12,1,2,1,39
13507,13508,34,9,0,0,40,0,4,11,4,3,3,4,1,39
14673,14674,52,14,0,0,40,0,2,12,4,10,3,4,0,39
22736,22737,34,14,0,0,40,0,7,12,4,10,4,4,0,39
32236,32237,26,10,0,0,45,1,4,15,2,4,0,4,1,11
17892,17893,40,9,0,0,45,0,4,11,2,8,0,4,1,39
4267,4268,49,13,0,1902,40,1,4,9,2,3,0,4,1,39
26232,26233,51,13,0,0,50,0,4,9,0,10,1,4,0,39
12910,12911,57,9,0,0,38,0,4,11,0,8,1,4,1,39
46139,46140,41,9,0,0,60,0,4,11,0,6,4,4,0,39
47442,47443,43,7,0,0,40,0,4,1,4,8,1,2,1,39
26846,26847,36,11,0,0,50,1,4,8,2,4,5,4,0,39
35203,35204,29,13,0,0,53,0,0,9,4,0,1,4,1,39
40741,40742,24,9,0,0,44,0,4,11,4,3,3,4,1,39
18280,18281,65,10,0,0,40,0,4,15,6,1,1,4,0,39
4009,4010,59,12,0,0,50,0,2,7,0,10,1,4,0,39
17206,17207,44,7,5178,0,36,1,4,1,2,10,5,4,0,39
9588,9589,53,14,0,0,40,1,2,12,0,10,1,2,0,39
39964,39965,36,9,0,0,40,0,4,11,0,1,4,4,0,39
22008,22009,42,13,0,0,50,1,4,9,2,4,0,4,1,39
3021,3022,57,15,0,1902,40,1,4,14,2,3,0,1,1,30
8672,8673,61,6,0,0,40,0,4,0,0,12,4,4,0,39
46996,46997,35,10,0,0,40,0,4,15,4,14,1,4,1,39
48007,48008,47,9,4101,0,40,0,4,11,4,10,1,2,0,23
25302,25303,53,9,0,0,46,1,4,11,2,3,0,4,1,39
19818,19819,20,10,0,0,50,0,4,15,4,6,3,4,1,39
37598,37599,58,8,0,0,45,1,4,2,0,14,4,2,1,39
30387,30388,33,9,0,0,40,0,4,11,4,14,1,4,1,39
31605,31606,20,8,0,1602,40,0,0,2,4,0,1,3,1,39
17952,17953,50,9,0,0,40,0,4,11,2,6,0,4,1,39
40444,40445,31,9,0,0,40,0,4,11,2,1,0,0,1,39
16395,16396,23,13,0,0,35,0,4,9,4,1,3,4,0,39
17574,17575,76,13,0,0,20,0,4,9,6,10,1,4,0,39
35904,35905,23,13,0,0,30,0,4,9,4,4,4,4,0,39
6964,6965,29,16,0,0,60,0,4,10,2,10,0,1,1,19
26502,26503,52,9,0,0,55,0,4,11,2,14,0,4,1,39
13482,13483,75,9,0,0,20,0,2,11,0,1,1,4,0,39
14546,14547,38,14,0,0,40,1,2,12,2,10,0,4,1,39
46524,46525,45,10,5013,0,40,0,2,15,2,13,0,2,1,39
23491,23492,48,10,0,0,50,1,4,15,2,12,0,4,1,39
4349,4350,53,14,15024,0,65,1,4,12,2,4,0,4,1,39
43693,43694,22,10,0,0,40,0,0,15,4,0,3,4,0,39
23169,23170,43,3,0,0,40,0,4,4,5,7,1,4,0,26
47939,47940,39,9,0,0,60,1,6,11,2,5,0,4,1,39
28469,28470,54,9,5178,0,40,1,4,11,2,3,0,4,1,39
7074,7075,50,10,0,0,40,0,4,15,2,4,0,4,1,39
36587,36588,50,10,0,0,40,0,4,15,5,12,4,4,0,39
28815,28816,55,8,0,0,40,0,2,2,6,1,1,4,0,39
42547,42548,70,13,20051,0,35,1,4,9,2,10,0,4,1,39
34834,34835,61,12,0,0,40,0,4,7,0,10,3,4,1,39
4877,4878,47,10,0,0,40,0,1,15,0,1,4,2,0,39
5486,5487,38,10,0,0,40,0,4,15,2,12,0,4,1,39
13864,13865,44,11,4386,0,40,1,2,8,2,14,0,4,1,39
42429,42430,51,9,0,0,40,0,4,11,2,3,0,4,1,39
47452,47453,36,13,0,0,55,1,4,9,2,10,0,4,1,39
17302,17303,60,9,0,0,40,0,4,11,2,8,0,4,1,39
11434,11435,46,9,0,0,40,1,4,11,2,14,0,4,1,39
42425,42426,18,9,0,0,17,0,4,11,4,1,3,4,0,39
34226,34227,36,10,0,0,40,0,0,15,4,0,1,4,0,39
23133,23134,42,10,0,0,40,0,4,15,2,3,0,4,1,39
22750,22751,40,13,0,0,53,0,4,9,4,12,1,4,1,39
48483,48484,19,9,0,0,40,0,0,11,4,0,3,4,1,39
43518,43519,25,15,0,0,65,0,4,14,4,10,1,4,1,39
15548,15549,53,8,0,0,56,0,4,2,3,6,1,3,1,6
39086,39087,28,7,0,1762,40,0,0,1,4,0,1,4,1,28
37345,37346,74,10,6418,0,24,1,4,15,2,12,0,4,1,39
45635,45636,51,13,0,2824,40,1,5,9,5,12,4,4,1,39
38531,38532,34,10,0,0,40,0,1,15,0,13,1,4,0,39
48146,48147,37,15,0,0,60,1,5,14,2,10,0,4,1,39
28008,28009,42,2,0,0,40,0,4,3,2,7,0,4,1,22
11431,11432,59,9,0,0,38,0,4,11,2,10,5,2,0,23
37131,37132,53,9,0,0,40,1,4,11,2,6,0,4,1,39
12396,12397,35,7,0,0,50,0,4,1,4,7,1,4,1,39
8171,8172,29,13,0,0,40,0,7,9,4,3,1,4,1,39
34293,34294,46,13,0,0,40,0,4,9,0,4,2,4,1,39
17146,17147,66,9,0,0,25,0,2,11,6,8,1,4,0,39
15813,15814,32,15,15024,0,50,1,1,14,2,10,0,4,1,39
12690,12691,35,10,0,0,40,0,4,15,2,11,0,2,1,0
963,964,36,6,0,0,40,0,4,0,0,4,4,4,0,39
21336,21337,23,10,0,0,40,0,4,15,4,6,1,4,1,39
20592,20593,54,9,7688,0,40,1,4,11,2,3,0,4,1,39
13043,13044,17,5,0,0,25,0,0,6,4,0,3,4,0,26
26557,26558,42,9,0,0,40,0,4,11,2,4,0,4,1,39
24427,24428,63,9,0,0,35,1,2,11,2,1,5,4,0,39
4213,4214,30,9,0,0,44,0,4,11,4,7,3,4,1,39
23820,23821,36,7,0,0,12,0,4,1,6,8,4,2,0,39
23109,23110,17,7,0,0,40,0,0,1,4,0,3,4,1,39
31798,31799,31,1,0,0,24,0,7,13,4,8,1,4,1,39
8324,8325,25,9,0,0,52,0,4,11,4,14,4,4,1,39
12189,12190,39,13,0,0,55,0,4,9,2,12,0,4,1,39
39472,39473,31,9,0,0,24,0,4,11,5,8,4,4,0,39
17516,17517,68,9,0,0,24,0,4,11,2,1,0,4,1,39
9059,9060,41,15,15024,0,50,1,4,14,2,10,0,4,1,39
29810,29811,17,7,0,0,10,0,4,1,4,6,3,4,1,39
37861,37862,53,13,0,0,52,0,4,9,6,1,4,4,0,39
26008,26009,34,9,0,0,40,0,4,11,2,8,0,4,1,39
43228,43229,37,9,0,0,48,0,4,11,4,8,4,2,1,39
18618,18619,63,9,0,0,20,0,4,11,5,3,1,4,0,39
47577,47578,52,6,0,0,40,0,6,0,2,4,0,4,1,39
41919,41920,68,9,0,0,48,0,4,11,6,8,1,4,0,39
12926,12927,25,6,0,0,24,0,4,0,4,9,3,4,0,39
18503,18504,49,7,0,0,38,0,4,1,0,4,1,4,0,39
29661,29662,37,10,5013,0,40,0,4,15,2,13,5,4,0,39
17832,17833,66,4,0,0,20,0,2,5,6,8,1,4,0,39
22462,22463,68,11,25124,0,50,1,5,8,6,12,1,4,0,39
35646,35647,22,9,0,2205,45,0,5,11,4,4,3,4,1,39
2592,2593,77,9,401,0,20,0,6,11,4,7,1,4,1,39
45041,45042,27,6,0,0,40,0,4,0,4,6,4,4,1,26
32649,32650,24,10,0,0,40,0,1,15,4,2,1,4,1,39
24774,24775,51,9,0,0,40,0,4,11,4,1,1,4,0,39
5176,5177,25,9,0,0,26,1,4,11,2,12,3,4,1,39
34722,34723,33,9,0,0,30,0,4,11,2,8,5,4,0,39
6083,6084,25,10,0,0,30,0,4,15,4,1,3,4,0,39
25571,25572,19,7,0,0,30,0,4,1,4,8,2,4,1,39
30693,30694,70,9,0,0,28,0,0,11,2,0,0,4,1,39
48447,48448,27,14,0,0,40,0,7,12,4,10,1,4,1,39
5574,5575,54,13,0,0,50,1,4,9,4,4,1,4,1,39
26469,26470,19,4,0,0,33,0,4,5,4,8,3,4,1,39
29695,29696,47,14,0,0,40,0,4,12,0,13,1,4,1,39
28866,28867,43,13,0,0,37,1,7,9,2,10,0,4,1,39
2544,2545,19,10,0,0,35,0,0,15,4,0,3,4,0,39
47849,47850,48,10,0,0,50,0,4,15,2,3,0,4,1,39
46532,46533,32,9,0,1902,40,1,4,11,2,3,0,4,1,39
36886,36887,22,10,0,0,25,0,4,15,4,6,3,4,1,39
46913,46914,29,13,0,0,40,0,4,9,4,12,3,4,0,39
14070,14071,60,10,0,0,48,0,4,15,0,12,1,4,0,39
46564,46565,60,9,0,0,40,0,4,11,2,7,0,2,1,39
4583,4584,39,10,0,0,38,0,4,15,0,12,4,1,0,39
6164,6165,31,9,0,0,50,0,4,11,2,3,0,4,1,39
43513,43514,44,12,0,0,40,0,4,7,2,3,0,4,1,30
24451,24452,47,13,0,0,50,0,4,9,2,10,0,4,1,39
14913,14914,61,3,0,0,45,0,4,4,2,5,2,4,0,26
39710,39711,40,14,0,0,38,0,4,12,0,4,4,4,0,39
17618,17619,25,9,0,0,20,0,4,11,5,8,4,4,0,39
16088,16089,54,10,0,0,60,0,4,15,0,7,1,4,1,39
3798,3799,30,6,0,0,18,0,4,0,4,12,2,4,1,13
9887,9888,26,9,0,0,40,0,4,11,0,7,1,4,1,39
41101,41102,40,9,0,0,40,0,6,11,5,3,3,4,1,39
25814,25815,53,7,0,0,47,0,4,1,6,8,3,4,0,39
26445,26446,28,8,0,0,40,0,4,2,0,5,1,4,1,39
3744,3745,22,9,0,0,40,0,0,11,4,0,3,4,1,26
20169,20170,41,12,0,0,45,1,4,7,2,13,0,4,1,39
4651,4652,36,9,0,0,45,0,4,11,2,4,0,4,1,39
26853,26854,46,9,0,1741,40,0,4,11,0,3,1,4,1,39
31771,31772,26,10,0,0,40,0,4,15,4,3,1,4,1,39
180,181,44,10,0,0,38,1,2,15,2,4,0,2,1,39
20480,20481,55,4,0,0,40,0,0,5,2,0,0,4,1,0
3185,3186,35,13,0,0,60,1,4,9,2,12,0,4,1,39
6581,6582,23,10,0,2559,40,1,4,15,5,8,1,4,1,39
5116,5117,34,5,0,0,40,0,4,6,2,3,0,4,1,39
42687,42688,37,6,0,2129,65,0,4,0,2,7,0,2,1,39
37928,37929,34,13,0,0,48,1,7,9,4,10,1,4,0,39
45706,45707,59,16,0,0,50,0,4,10,4,10,1,4,1,39
23350,23351,34,10,0,0,40,0,4,15,4,1,1,4,0,39
17704,17705,24,14,0,0,40,0,7,12,4,10,1,2,0,39
7816,7817,59,10,0,0,40,0,4,15,0,8,1,4,1,39
31249,31250,34,10,0,0,40,0,4,15,2,1,0,4,1,39
27168,27169,56,4,0,0,40,1,4,5,2,4,0,4,1,39
13124,13125,23,9,0,0,25,0,4,11,4,8,3,2,1,39
774,775,55,9,0,0,38,0,4,11,4,12,1,4,1,39
27457,27458,34,11,0,0,40,0,4,8,2,12,0,4,1,39
29500,29501,50,9,0,0,40,0,4,11,5,8,4,2,0,39
17999,18000,27,13,0,0,50,0,4,9,2,12,0,4,1,39
15911,15912,24,10,0,0,40,0,0,15,4,0,4,4,1,39
41553,41554,33,10,0,0,40,1,4,15,2,7,0,4,1,39
4275,4276,44,10,0,0,40,0,4,15,2,6,0,4,1,39
17237,17238,59,9,0,0,40,0,4,11,2,3,0,4,1,39
46064,46065,17,6,0,0,40,0,4,0,3,8,2,4,1,39
40465,40466,57,14,0,0,40,1,2,12,2,4,0,2,1,39
45117,45118,42,5,0,0,40,0,4,6,4,5,1,4,1,33
8199,8200,26,10,0,0,40,0,4,15,4,3,1,4,1,39
9820,9821,37,12,0,0,45,1,2,7,2,10,0,4,1,2
37786,37787,28,13,0,0,42,1,4,9,2,4,0,4,1,39
22653,22654,39,10,0,0,40,0,4,15,0,8,1,4,1,39
17705,17706,31,11,0,0,40,0,4,8,2,10,5,4,0,39
27785,27786,62,5,0,0,35,0,4,6,2,8,0,4,1,39
16313,16314,28,13,6849,0,60,0,4,9,4,4,1,4,0,39
40359,40360,29,10,0,0,50,0,6,15,5,1,4,4,0,39
13921,13922,70,10,0,0,20,1,5,15,2,4,0,4,1,39
30129,30130,37,12,0,0,40,1,1,7,2,4,5,4,0,39
34973,34974,29,9,0,0,45,0,4,11,0,4,4,4,0,39
27218,27219,32,10,5178,0,50,1,4,15,2,12,0,4,1,39
18338,18339,32,13,0,0,40,0,4,9,4,1,1,1,1,39
9690,9691,26,13,5178,0,42,1,4,9,2,12,5,4,0,39
22792,22793,30,13,0,0,55,0,4,9,2,4,0,4,1,39
29721,29722,18,10,0,0,16,0,4,15,4,8,3,1,1,39
33792,33793,35,9,0,0,40,0,4,11,2,14,0,4,1,39
5859,5860,20,9,0,0,40,0,4,11,4,1,3,4,0,39
12390,12391,34,10,0,0,40,0,4,15,4,6,1,4,1,39
5216,5217,28,13,0,0,45,0,4,9,4,12,1,4,1,39
36218,36219,33,12,0,0,40,0,6,7,0,12,1,4,1,39
22988,22989,24,13,0,0,30,0,4,9,4,12,1,4,0,39
3910,3911,48,9,0,0,30,0,4,11,0,12,4,4,0,39
9084,9085,56,13,0,0,45,1,4,9,0,4,1,4,1,39
31212,31213,47,12,0,1672,65,0,6,7,2,3,0,4,1,39
33201,33202,59,9,0,0,40,0,0,11,6,0,4,2,0,39
8866,8867,57,12,0,0,40,0,6,7,3,5,4,0,1,39
46716,46717,22,10,0,0,40,0,4,15,4,7,1,4,1,39
48733,48734,25,13,0,0,45,0,4,9,2,12,5,4,0,39
18970,18971,20,9,0,0,20,0,4,11,4,1,3,2,0,39
25756,25757,22,10,0,0,32,0,4,15,4,13,2,1,0,39
3743,3744,29,9,0,0,30,0,4,11,0,10,1,3,0,11
2027,2028,35,9,0,0,40,0,4,11,4,6,1,4,1,39
7632,7633,27,10,0,0,65,0,4,15,4,4,1,4,0,39
14023,14024,23,13,0,0,40,0,4,9,4,1,1,4,1,39
26913,26914,25,9,0,0,38,0,2,11,2,3,0,4,1,39
5863,5864,64,14,0,0,35,0,4,12,4,10,1,4,0,39
41670,41671,26,5,2635,0,35,0,4,6,2,3,0,4,1,26
34783,34784,61,15,99999,0,40,1,5,14,2,4,0,4,1,39
8495,8496,47,16,0,0,50,0,6,10,2,3,0,4,1,39
46989,46990,46,10,0,0,40,0,4,15,4,6,4,2,0,39
39186,39187,39,6,0,0,40,0,4,0,5,8,4,4,0,26
14801,14802,56,9,0,0,28,0,4,11,4,6,3,4,1,39
35056,35057,34,11,0,0,40,0,4,8,4,4,4,0,0,39
8303,8304,47,10,0,0,45,0,4,15,2,1,0,4,1,26
38981,38982,36,9,0,0,43,0,4,11,4,3,1,4,1,39
10942,10943,63,9,0,0,40,0,2,11,2,11,0,4,1,39
37238,37239,33,9,0,0,48,0,4,11,0,4,1,4,1,39
15540,15541,50,6,0,0,25,0,6,0,4,3,1,4,1,39
29616,29617,33,14,0,0,30,0,7,12,4,10,1,4,1,39
16077,16078,37,13,0,0,30,0,4,9,4,10,1,4,1,39
44717,44718,43,10,0,0,40,0,4,15,4,3,1,4,1,39
12174,12175,52,14,0,1848,40,1,7,12,2,10,5,2,0,39
47651,47652,46,14,0,0,40,0,2,12,2,1,0,4,1,0
42177,42178,32,13,0,1977,44,1,4,9,2,12,0,4,1,39
38883,38884,34,14,0,0,55,1,4,12,2,4,0,4,1,39
44658,44659,24,14,0,0,38,0,4,12,4,12,4,2,0,39
9147,9148,75,6,0,0,1,0,0,0,6,0,2,1,0,3
37368,37369,24,9,0,0,20,0,4,11,4,1,2,2,0,39
42812,42813,43,10,0,0,30,0,4,15,0,8,1,4,0,39
28287,28288,43,13,0,0,50,0,6,9,4,10,4,4,0,39
20937,20938,33,13,0,0,50,1,4,9,2,4,0,4,1,39
28289,28290,37,9,0,0,40,0,4,11,4,7,3,4,1,39
11478,11479,73,3,0,0,20,0,2,4,2,11,0,4,1,39
15885,15886,47,9,0,0,40,0,4,11,2,13,5,4,0,39
30212,30213,59,14,4787,0,60,1,2,12,6,10,4,4,0,39
26926,26927,33,13,0,0,40,1,4,9,2,10,0,2,1,39
6843,6844,45,13,0,0,42,1,4,9,2,12,5,4,0,39
42693,42694,58,10,0,0,20,0,0,15,2,0,5,4,0,39
38613,38614,41,13,0,0,45,0,5,9,6,4,1,2,0,39
39089,39090,28,10,0,1669,90,0,2,15,4,12,1,4,1,39
3206,3207,45,13,0,1977,50,1,2,9,2,4,0,4,1,39
46721,46722,40,9,0,0,40,0,4,11,0,12,1,4,0,39
29903,29904,30,10,0,0,40,0,7,15,4,10,1,4,1,39
10495,10496,29,5,0,0,40,0,4,6,2,3,0,4,1,39
6354,6355,30,11,0,0,24,0,4,8,2,1,5,4,0,39
8382,8383,41,9,0,0,40,0,4,11,4,1,1,4,0,39
29670,29671,34,10,0,0,6,0,4,15,0,10,4,4,0,39
12120,12121,39,9,0,1887,46,1,4,11,2,12,0,4,1,39
26407,26408,59,3,0,0,40,0,5,4,2,5,0,4,1,22
32101,32102,45,13,0,0,56,0,4,9,5,10,4,4,0,11
12633,12634,45,14,0,0,40,0,7,12,0,4,4,4,0,39
21910,21911,39,8,0,0,40,0,4,2,0,1,4,4,0,39
8811,8812,25,6,0,0,50,0,4,0,2,11,5,2,0,39
9352,9353,41,16,0,0,40,1,7,10,2,10,0,4,1,39
11006,11007,37,9,0,0,40,0,4,11,0,8,1,4,0,39
41312,41313,57,4,0,0,40,0,6,5,6,5,4,4,1,39
34996,34997,35,9,0,0,40,0,4,11,0,4,1,4,1,39
44815,44816,20,10,0,0,30,0,4,15,4,8,3,4,1,39
45191,45192,45,11,0,0,35,0,6,8,2,4,0,4,1,39
23981,23982,60,9,0,0,40,0,7,11,2,8,0,4,1,39
9680,9681,29,13,0,0,40,0,4,9,4,13,1,4,1,39
22798,22799,30,4,0,0,44,0,0,5,6,0,1,4,0,39
6838,6839,36,10,0,0,40,0,4,15,5,1,2,4,0,39
40843,40844,54,9,0,0,40,0,4,11,6,1,4,2,0,39
43109,43110,23,7,0,0,60,0,4,1,4,3,3,4,1,39
43736,43737,18,7,0,0,28,0,4,1,4,8,3,4,1,39
16374,16375,32,9,0,0,40,0,4,11,2,12,5,4,0,39
23971,23972,29,12,0,0,40,0,4,7,2,1,0,4,1,39
25670,25671,29,9,0,0,40,0,4,11,2,7,0,4,1,39
46980,46981,28,9,0,0,50,0,4,11,4,7,4,2,0,39
912,913,53,6,0,0,60,0,6,0,2,5,0,4,1,39
40954,40955,24,9,0,0,40,0,4,11,4,1,3,4,0,39
27663,27664,44,13,0,0,40,1,2,9,2,10,0,4,1,39
23239,23240,24,7,0,0,40,0,4,1,4,7,1,4,0,39
9707,9708,43,9,0,0,40,0,2,11,5,8,1,4,1,39
38446,38447,26,9,0,0,84,0,0,11,0,0,4,4,0,39
29284,29285,27,3,2176,0,40,0,4,4,4,9,2,4,0,8
43422,43423,43,10,0,0,65,0,4,15,2,10,0,4,1,39
23222,23223,52,9,0,0,40,1,5,11,2,4,0,4,1,39
41682,41683,29,11,0,0,40,0,4,8,4,6,3,4,1,39
9296,9297,35,12,0,0,40,0,6,7,2,3,0,4,1,39
6268,6269,21,10,0,0,30,0,4,15,4,8,3,4,1,39
48653,48654,23,10,0,0,20,0,7,15,5,10,1,4,0,39
23719,23720,44,10,0,0,40,0,4,15,2,14,0,4,1,39
41094,41095,30,9,0,0,50,0,7,11,0,8,4,4,0,39
651,652,24,9,4101,0,50,0,4,11,4,4,2,4,1,39
